Index,codigo_1,codigo_2
30259,3008567,326140
30260,8052440,434221
30260,1080577,434221
30260,1491122,434221
30260,2539336,467111
30260,2614329,434221
30260,2981359,331220
30260,2937467,434221
30260,9342777,434221
30260,8591309,434221
30260,9041255,434221
30262,6366809,237121
30262,2976999,468419
30262,9278029,467115
30267,6742216,332710
30267,2916317,332710
30267,8932041,811312
30274,9238929,322210
30274,2931514,321920
30276,6808441,435311
30277,3021925,434225
30280,6861667,561110
30284,235781,464122
30284,8753920,435313
30284,6365731,435313
30286,3026154,561620
30290,8391705,561620
30293,2977579,431130
30301,2933867,562111
30302,270052,467115
30302,3038899,467115
30303,11765,468212
30303,11875,468212
30303,8540591,468212
30303,51140,468212
30303,16996,811119
30303,8356765,468212
30303,8486240,468212
30303,8320959,468212
30303,117980,468212
30303,6799927,468212
30303,6799628,468212
30303,142155,468212
30303,6498856,468212
30303,6916842,468212
30303,175945,468212
30303,298128,468212
30303,292241,468212
30303,310909,468212
30303,242014,468212
30303,306013,468212
30303,7291123,468212
30303,8729403,468212
30303,7393758,468212
30303,7133538,434319
30303,7347400,468212
30303,411028,468112
30303,427548,468212
30303,352443,468212
30303,9380821,468212
30303,7062350,468212
30303,445535,468212
30303,445491,468212
30303,483073,468212
30303,7026964,468212
30303,411639,468212
30303,413629,468212
30303,7734781,468212
30303,413441,468212
30303,365797,811111
30303,7057973,468212
30303,7912608,468212
30303,8698420,468212
30303,7071209,468212
30303,7005742,468212
30303,8229628,468212
30303,609138,468212
30303,593216,468212
30303,598489,468212
30303,539714,468212
30303,554364,468212
30304,6159670,484129
30306,9201390,435419
30306,874311,811312
30306,840396,811312
30306,955062,811312
30306,1064210,435419
30306,6776561,435419
30306,8400441,435319
30306,1856413,467111
30306,7865160,811312
30306,8696546,435210
30306,8959895,467113
30306,2742313,435210
30306,8882256,332999
30306,3038590,435419
30306,6215826,435419
30306,8642239,435319
30306,3549059,435319
30306,8767832,561210
30306,3683156,811312
30306,4037001,811312
30307,59073,811112
30307,69500,811111
30307,7273062,811111
30307,356334,332720
30307,626894,811111
30307,645386,811111
30307,1330732,811492
30307,1197125,811492
30307,8473492,811111
30307,1941466,811111
30307,2797922,811111
30307,8684248,811112
30307,2957747,811119
30307,3003131,811111
30307,2981289,811111
30307,2981225,811111
30307,3534540,811111
30307,3391782,811119
30307,3690294,811111
30307,3665236,811111
30307,3938700,332320
30307,3944259,811111
30307,3863710,811111
30307,4025704,811111
30307,4131867,811111
30307,4137029,811111
30307,9060826,811111
30307,4183380,315229
30307,4226448,811410
30307,8396143,332320
30307,4648554,811111
30307,4599936,811111
30307,4605563,811111
30307,4626476,811113
30308,2944739,541380
30309,8829671,561510
30309,3043001,561510
30311,6310015,435220
30311,6343630,435220
30311,6365780,435220
30311,6382831,435220
30311,6394013,435220
30314,7872641,541620
30316,8695582,722511
30317,2922189,541410
30319,6859458,541410
30324,8795061,327123
30327,6217651,326290
30328,6269203,331210
30329,6367234,435319
30331,6773162,461190
30339,2994563,811312
30340,3014681,467111
30348,3047876,434219
30349,8805311,434225
30350,8625691,465216
30350,7805722,434225
30352,4137995,466112
30353,4074409,488519
30354,6163197,484129
30355,6881793,811312
30355,4042527,237131
30355,4124349,811312
30355,6456532,811312
30356,4073773,435319
30357,1839199,435412
30358,6865442,722515
30358,8672862,722515
30358,6337241,311922
30358,6341171,722515
30358,6345082,722515
30358,6345083,722515
30358,6345085,722515
30358,6345086,722515
30358,6345087,722515
30358,6418311,722515
30358,6865443,722515
30358,6865444,722515
30358,6865445,722515
30358,6865446,722515
30358,6878352,722515
30358,6881924,722515
30358,6885580,722515
30358,8990593,722515
30358,6809058,722515
30358,6809059,722515
30358,7143951,722515
30358,6725632,722515
30358,6729045,722515
30359,6265089,467111
30359,6339420,467111
30359,6341821,467111
30359,6341822,467111
30359,6779266,467111
30359,6801890,467111
30360,1651686,468420
30360,1839002,468211
30360,8952595,115112
30368,6342826,434111
30370,6878053,433110
30370,1839074,433110
30370,6218810,541380
30371,6721012,467111
30372,1272985,532492
30372,1871851,532492
30373,1664737,435411
30377,6731969,237113
30378,1689024,322210
30378,1689763,434223
30379,8737542,431121
30379,6873952,461121
30379,6884744,461121
30379,8723512,431121
30379,6873876,431121
30379,8737543,431121
30379,8737811,431121
30379,8939952,461121
30379,6873877,461121
30379,6703266,461121
30380,1830831,326194
30380,2130347,463111
30380,7808111,465914
30382,1827460,332999
30382,8513575,434225
30382,6767231,434225
30382,2192648,485210
30382,9235810,492110
30382,4132335,522452
30382,9302571,434225
30385,1948474,326290
30386,7582450,434225
30387,8333180,337120
30388,6865725,721111
30388,9324787,484231
30388,6156911,484129
30389,1869946,238210
30392,1863611,326191
30392,1845058,466114
30393,1035883,811410
30393,1844954,811111
30393,1629338,811113
30393,2434872,812210
30393,3369871,811111
30396,1960726,315110
30403,8234160,811312
30404,6339270,721112
30404,6343477,721112
30404,9317287,721111
30404,6341930,721111
30404,6340440,721111
30407,6708248,332810
30408,6743403,238210
30409,1822687,811313
30415,6703135,465212
30415,8383964,465912
