Index, codigo_1, codigo_2
15387, 7285779, 435411
15387, 6290441, 466112
15387, 7289976, 461110
15387, 186896, 466211
15387, 9285558, 465919
15387, 6290272, 721112
15387, 6290552, 721311
15387, 190743, 811219
15387, 8232909, 931210
15387, 289058, 314991
15387, 7310522, 434311
15387, 6299159, 466112
15387, 7695466, 522110
15387, 9312990, 541610
15387, 299550, 811211
15387, 7682991, 812110
15387, 8491302, 811219
15387, 232868, 931310
15387, 326790, 465311
15387, 317624, 512130
15387, 7901688, 321910
15387, 6296257, 466112
15387, 6298132, 464111
15387, 6298133, 464111
15388, 6266901, 322210
15390, 6332158, 468213
15390, 1252401, 468213
15390, 6814455, 468213
15390, 6351492, 468213
15390, 6351494, 468213
15390, 6351493, 468213
15390, 6775898, 468213
15390, 6765494, 468213
15390, 6774321, 468213
15390, 8349004, 468213
15390, 2391540, 468213
15390, 6765261, 468213
15390, 6765368, 468213
15390, 3564759, 468213
15390, 3576577, 468213
15391, 9109943, 624191
15391, 7163840, 621421
15391, 8541387, 624191
15391, 22765, 624191
15391, 9345580, 624191
15391, 7633489, 624191
15391, 8453300, 623221
15391, 8335120, 623221
15391, 8201200, 624191
15391, 179227, 624191
15391, 9213327, 624191
15391, 183906, 624191
15391, 8211246, 813230
15391, 163141, 813230
15391, 7815769, 624191
15391, 200095, 624191
15391, 7089901, 624191
15391, 319817, 624191
15391, 7385447, 624191
15391, 384439, 624191
15391, 501940, 624191
15391, 427656, 624191
15391, 520094, 624191
15391, 8542301, 624191
15391, 8532321, 624191
15391, 396377, 624191
15391, 8707624, 624191
15391, 8093051, 624191
15391, 6308285, 315229
15391, 645217, 624191
15391, 775354, 624191
15391, 640472, 624191
15391, 8385698, 624191
15391, 800257, 624191
15391, 675326, 624191
15391, 921755, 624191
15391, 646438, 624191
15391, 8415056, 624191
15391, 8640729, 624191
15391, 8658840, 624191
15391, 1303137, 624191
15391, 8573831, 624191
15391, 1358547, 624191
15391, 7999492, 624191
15391, 8208686, 624191
15391, 8525499, 624191
15391, 1377528, 624191
15391, 8517349, 624191
15391, 7901984, 624191
15391, 1506779, 624191
15392, 9310605, 434112
15392, 6335456, 434112
15392, 6854998, 434112
15392, 1526757, 434112
15392, 4216229, 434112
15395, 6858177, 468213
15400, 1987698, 431122
15401, 7208414, 333319
15402, 8620928, 812410
15402, 8493119, 812410
15402, 8493121, 812410
15402, 8737916, 812410
15402, 8486640, 812410
15402, 8536116, 812410
15402, 8486642, 812410
15402, 8493122, 812410
15402, 8493120, 812410
15402, 8486620, 812410
15402, 8486638, 812410
15402, 935309, 812410
15402, 691135, 812410
15402, 6719318, 812410
15402, 8486641, 812410
15402, 1689714, 812410
15402, 6740265, 812410
15402, 8486619, 812410
15402, 9296523, 812410
15402, 8486621, 812410
15402, 8486639, 812410
15402, 8720215, 812410
15402, 8601624, 812410
15402, 8049762, 812410
15402, 8737915, 812410
15404, 6317834, 461160
15404, 763114, 461160
15404, 985027, 461160
15404, 785409, 461160
15404, 804231, 461160
15404, 7153182, 461160
15404, 8458456, 461160
15404, 809733, 461160
15404, 781304, 461160
15404, 1906515, 461160
15404, 2080030, 461160
15404, 8869758, 461160
15404, 8926154, 461160
15404, 2630161, 461160
15404, 8205384, 461160
15404, 8833661, 461160
15406, 6367480, 337120
15406, 6772931, 337120
15407, 7246347, 337210
15407, 1965779, 337210
15408, 915511, 434240
15408, 8402495, 465111
15408, 654162, 812110
15408, 878229, 812110
15408, 1170331, 465111
15408, 7593932, 812110
15408, 6863330, 434240
15408, 8473084, 465111
15408, 8897932, 611511
15408, 2080488, 611511
15408, 2227601, 812110
15408, 7962414, 812110
15408, 8001846, 812110
15408, 4150185, 812110
15408, 7934978, 812110
15408, 7963616, 812110
15409, 6301073, 435419
15409, 6348535, 435419
15409, 6368730, 435419
15409, 6382216, 435419
15413, 118354, 541810
15418, 6305610, 339912
15418, 6304644, 465112
15418, 8421618, 465112
15418, 8305540, 465112
15418, 8305541, 465112
15418, 8166021, 465112
15418, 8305545, 465112
15418, 8921997, 465112
15421, 1080716, 622311
15421, 2718620, 622111
15421, 9283140, 622311
15421, 6365532, 622111
15422, 6884909, 467111
15425, 8971336, 713991
15426, 88104, 465112
15426, 854614, 339912
15426, 9097125, 433220
15426, 6352644, 465112
15426, 1022986, 465112
15426, 8386184, 465112
15426, 869202, 465112
15426, 6781534, 465112
15426, 8107673, 465112
15426, 1456185, 339912
15426, 7972131, 465112
15426, 1484316, 465112
15426, 8311644, 465112
15426, 6781969, 433220
15426, 1686799, 463215
